question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q01,What is Retrieval-Augmented Generation?,RAG,"[0, 5, 4, 6, 13]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG']","[0.789147138595581, 0.8482028245925903, 0.9586895704269409, 0.9955463409423828, 1.0651737451553345]",False,False,False
Q02,How does RAG use an external knowledge base?,RAG,"[0, 5, 6, 14, 13]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG', 'Self-RAG']","[0.5834668874740601, 0.8266991376876831, 0.8900638818740845, 0.9142109751701355, 0.9327929615974426]",False,False,False
Q03,What are the main stages of a typical RAG pipeline?,RAG,"[0, 5, 6, 1, 12]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG', 'Document Chunking', 'Trust Score']","[1.3133175373077393, 1.3136308193206787, 1.415094017982483, 1.422959327697754, 1.5369259119033813]",False,False,False
Q04,Why can RAG reduce hallucinations?,RAG,"[9, 0, 1, 5, 12]","['Hallucination', 'Retrieval-Augmented Generation', 'Document Chunking', 'Retrieval-Augmented Generation', 'Trust Score']","[1.1609346866607666, 1.2913424968719482, 1.4028667211532593, 1.471440315246582, 1.4938766956329346]",False,False,False
Q05,Does RAG guarantee that generated answers are correct?,RAG,"[5, 12, 0, 13, 14]","['Retrieval-Augmented Generation', 'Trust Score', 'Retrieval-Augmented Generation', 'Self-RAG', 'Self-RAG']","[0.9600509405136108, 0.9715768098831177, 1.0253119468688965, 1.0963225364685059, 1.1043778657913208]",False,False,False
Q06,What factors affect the quality of a RAG system?,RAG,"[5, 12, 0, 6, 1]","['Retrieval-Augmented Generation', 'Trust Score', 'Retrieval-Augmented Generation', 'Self-RAG', 'Document Chunking']","[1.25166916847229, 1.3592735528945923, 1.3619153499603271, 1.4564101696014404, 1.4621310234069824]",False,False,False
Q07,What is document chunking?,Document Chunking,"[1, 2, 0, 6, 5]","['Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Self-RAG', 'Retrieval-Augmented Generation']","[0.4804950952529907, 0.7270982265472412, 1.2048505544662476, 1.2828871011734009, 1.3013420104980469]",True,True,True
Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[1, 2, 0, 6, 3]","['Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Self-RAG', 'Vector Similarity']","[0.6593220233917236, 0.7787705659866333, 1.3373212814331055, 1.4046313762664795, 1.4222540855407715]",True,True,True
Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[1, 2, 3, 0, 4]","['Document Chunking', 'Text Embeddings', 'Vector Similarity', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.8894815444946289, 1.0029032230377197, 1.2394497394561768, 1.275765299797058, 1.3470220565795898]",True,True,True
Q10,How does chunk overlap help preserve context?,Document Chunking,"[1, 2, 0, 5, 9]","['Document Chunking', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Hallucination']","[0.9499800801277161, 1.125205159187317, 1.3166203498840332, 1.4250918626785278, 1.4313127994537354]",True,True,True
Q11,What are text embeddings?,Text Embeddings,"[2, 3, 1, 0, 4]","['Text Embeddings', 'Vector Similarity', 'Document Chunking', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.6026453971862793, 0.8979723453521729, 1.090742826461792, 1.1088800430297852, 1.2219038009643555]",True,True,True
Q12,Why are embeddings useful for semantic search?,Text Embeddings,"[3, 2, 4, 0, 1]","['Vector Similarity', 'Text Embeddings', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Document Chunking']","[0.8117223978042603, 0.9551422595977783, 1.081221103668213, 1.096297264099121, 1.301971197128296]",False,True,True
Q13,Which Sentence Transformer models are mentioned in the document?,Text Embeddings,"[8, 3, 9, 0, 4]","['ReAct', 'Vector Similarity', 'Hallucination', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[1.1559782028198242, 1.1663841009140015, 1.2244486808776855, 1.256020188331604, 1.3310911655426025]",False,False,False
