question_id,question,expected_section,retrieved_chunk_ids,retrieved_sections,distances,hit@1,hit@3,hit@5
Q01,What is Retrieval-Augmented Generation?,RAG,"[19, 0, 18, 43, 33]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'ReAct', 'Hallucination']","[0.6894686222076416, 0.8884798288345337, 0.9209128618240356, 0.9283338785171509, 0.9803228974342346]",False,False,False
Q02,How does RAG use an external knowledge base?,RAG,"[0, 1, 16, 5, 20]","['Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Document Chunking', 'Self-RAG']","[0.5305113792419434, 0.7114633917808533, 0.7793146967887878, 0.8998718857765198, 0.9019908905029297]",False,False,False
Q03,What are the main stages of a typical RAG pipeline?,RAG,"[1, 5, 20, 15, 0]","['Retrieval-Augmented Generation', 'Document Chunking', 'Self-RAG', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation']","[0.921170175075531, 1.1654306650161743, 1.1722700595855713, 1.2321839332580566, 1.3132357597351074]",False,False,False
Q04,Why can RAG reduce hallucinations?,RAG,"[3, 30, 0, 41, 32]","['Hallucination', 'Hallucination', 'Retrieval-Augmented Generation', 'Trust Score', 'Hallucination']","[1.0317209959030151, 1.2044620513916016, 1.2342076301574707, 1.2672607898712158, 1.3653743267059326]",False,False,False
Q05,Does RAG guarantee that generated answers are correct?,RAG,"[16, 41, 0, 4, 20]","['Retrieval-Augmented Generation', 'Trust Score', 'Retrieval-Augmented Generation', 'Hallucination', 'Self-RAG']","[0.8619519472122192, 0.8761931657791138, 0.8778291940689087, 0.9355441331863403, 1.0445382595062256]",False,False,False
Q06,What factors affect the quality of a RAG system?,RAG,"[5, 1, 16, 0, 20]","['Document Chunking', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Retrieval-Augmented Generation', 'Self-RAG']","[0.918671190738678, 1.0603351593017578, 1.0901029109954834, 1.1622289419174194, 1.1899900436401367]",False,False,False
Q07,What is document chunking?,Document Chunking,"[6, 8, 7, 5, 3]","['Document Chunking', 'Document Chunking', 'Document Chunking', 'Document Chunking', 'Hallucination']","[0.37164124846458435, 0.5754154920578003, 0.7004194259643555, 0.7139278650283813, 1.1533803939819336]",True,True,True
Q08,What are the different ways a document can be divided into chunks?,Document Chunking,"[6, 8, 7, 5, 20]","['Document Chunking', 'Document Chunking', 'Document Chunking', 'Document Chunking', 'Self-RAG']","[0.492056667804718, 0.7301537990570068, 0.8175612688064575, 0.8948015570640564, 1.2924096584320068]",True,True,True
Q09,Why is chunk size important for retrieval performance?,Document Chunking,"[7, 5, 8, 6, 12]","['Document Chunking', 'Document Chunking', 'Document Chunking', 'Document Chunking', 'Vector Similarity']","[0.7488797903060913, 0.8515849113464355, 0.90618896484375, 0.9226644039154053, 1.2277275323867798]",True,True,True
Q10,How does chunk overlap help preserve context?,Document Chunking,"[8, 6, 5, 7, 3]","['Document Chunking', 'Document Chunking', 'Document Chunking', 'Document Chunking', 'Hallucination']","[0.6329442262649536, 0.911285400390625, 1.0156726837158203, 1.0410425662994385, 1.3142000436782837]",True,True,True
